# ----------------------------------------
# Landing page
# Account: info@urban-warzone.com
# Property: Urban War Zone Paintball - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20251022
# End date: 20260321
Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/product-category/paintball-rental-packages/up-to-40-players,0,0,0,0,0,0,0
/product/small-gift-certificate,0,0,0,0,0,0,0
/compressed-air-refill-price,16,11,11,21.0625,0,0,0
/paintball-game-types,3,2,0,0.3333333333333333,0,0,0
/contact-us,0,0,0,0,0,0,0
/product/deluxe-package-large,0,0,0,0,0,0,0
/blog/business/team-bonding-cost,1,1,1,46,0,0,0
/checkout,15,8,0,140,0,0,0
/product-category/paintball-rental-packages/drop-in-reservation,0,0,0,0,0,0,0
/product-category/paintball-rental-packages/up-to-20-players,0,0,0,0,0,0,0
/blog/gear/paintball-repair-houston,7,7,7,14.142857142857142,0,0,0
/product/elite-package-large,0,0,0,0,0,0,0
/rental-prices/food-pricing,11,3,0,4.2727272727272725,0,0,0
/blog/news/2024-beryl-status,0,0,0,0,0,0,0
/rental-prices/gear-requirements,4,3,2,17.5,0,0,0
/rental-prices/get-faster-paintball-marker,6,5,4,21.333333333333332,0,0,0
/get-a-free-paintball-grenade,6,2,1,2.5,0,0,0
/blog/news/2025-new-years-day,1,1,0,66,0,0,0
/blog/news/pump-league-may-2023,2,2,2,72.5,0,0,0
/product/elite-package-medium,6,3,0,18.5,0,0,0
/rental-prices/introduction-to-paintball,4,1,0,2.5,0,0,0
/blog/news/2023-july-4-introduction,0,0,0,0,0,0,0
/blog/news/2023-july-4-1917,0,0,0,0,0,0,0
/select-gift-certificate-amount,0,0,0,0,0,0,0
/paintball-birthday-invitations,3,1,0,39,0,0,0
/blog/news,0,0,0,0,0,0,0
/blog/news/2024-spring-break-free-lunch,3,2,2,4,0,0,0
/birthday.shtml,0,0,0,0,0,0,0
/blog/news/pump-league-june-2023,0,0,0,0,0,0,0
/my-account/view-order/42142,0,0,0,0,0,0,0
/blog/news/2024-spring-break-vibes,0,0,0,0,0,0,0
/product/medium-gift-certificate,0,0,0,0,0,0,0
/rental-prices/membership-terms-conditions,1,1,1,0,0,0,0
,1,0,0,0,0,0,0
/product/basic-package-large,1,1,0,0,0,0,0
/author/admin,0,0,0,0,0,0,0
/blog/business,0,0,0,0,0,0,0
/blog/gear,0,0,0,0,0,0,0
/my-account/view-order/42558,1,1,0,10,0,0,0
/online-paintball-reservations,0,0,0,0,0,0,0
/request-corporate-event-quote,0,0,0,0,0,0,0
